,time,open,high,low,close,tick_volume,spread,real_volume
0,2023-08-16 16:00:00,1900.68,1902.31,1900.12,1900.77,1845,25,0
1,2023-08-16 16:15:00,1900.77,1904.03,1899.11,1903.12,1887,25,0
2,2023-08-16 16:30:00,1903.12,1905.77,1902.34,1904.9,2974,25,0
3,2023-08-16 16:45:00,1904.88,1906.34,1903.41,1904.11,2524,25,0
4,2023-08-16 17:00:00,1904.08,1905.91,1903.12,1903.9,2173,25,0
5,2023-08-16 17:15:00,1903.85,1905.39,1903.3,1904.65,1954,25,0
6,2023-08-16 17:30:00,1904.65,1904.98,1903.28,1904.35,1683,25,0
7,2023-08-16 17:45:00,1904.36,1904.82,1903.37,1904.52,1526,25,0
8,2023-08-16 18:00:00,1904.54,1904.73,1902.88,1903.71,1618,25,0
9,2023-08-16 18:15:00,1903.68,1904.18,1902.91,1903.01,1252,25,0
10,2023-08-16 18:30:00,1903.02,1903.23,1901.88,1901.98,1340,25,0
11,2023-08-16 18:45:00,1901.95,1902.96,1901.25,1901.79,1275,25,0
12,2023-08-16 19:00:00,1901.8,1902.52,1900.57,1900.94,1218,25,0
13,2023-08-16 19:15:00,1900.92,1900.92,1899.26,1899.67,1252,25,0
14,2023-08-16 19:30:00,1899.7,1900.77,1899.06,1900.23,1179,25,0
15,2023-08-16 19:45:00,1900.25,1900.44,1898.74,1899.34,1118,25,0
16,2023-08-16 20:00:00,1899.37,1899.44,1897.77,1899.0,1353,25,0
17,2023-08-16 20:15:00,1899.05,1899.44,1897.6,1897.67,1194,25,0
18,2023-08-16 20:30:00,1897.68,1898.4,1896.83,1897.95,1325,25,0
19,2023-08-16 20:45:00,1897.93,1898.66,1897.35,1898.29,775,25,0
20,2023-08-16 21:00:00,1898.32,1898.58,1895.18,1896.74,2073,25,0
21,2023-08-16 21:15:00,1896.8,1899.55,1896.72,1897.93,1709,25,0
22,2023-08-16 21:30:00,1897.92,1898.66,1895.88,1896.1,1241,25,0
23,2023-08-16 21:45:00,1896.09,1896.23,1894.45,1894.94,1327,25,0
24,2023-08-16 22:00:00,1894.92,1895.46,1893.41,1893.95,1176,25,0
25,2023-08-16 22:15:00,1893.99,1894.78,1892.69,1892.86,1506,25,0
26,2023-08-16 22:30:00,1892.89,1893.98,1892.28,1892.53,1174,25,0
27,2023-08-16 22:45:00,1892.53,1892.98,1891.73,1892.14,1022,25,0
28,2023-08-16 23:00:00,1892.18,1893.06,1891.93,1892.94,545,25,0
29,2023-08-16 23:15:00,1892.84,1893.6,1892.52,1893.47,383,25,0
30,2023-08-16 23:30:00,1893.51,1893.61,1892.42,1892.81,306,25,0
31,2023-08-16 23:45:00,1892.82,1893.03,1891.65,1891.72,369,25,0
32,2023-08-17 01:00:00,1891.26,1894.81,1891.26,1894.68,739,25,0
33,2023-08-17 01:15:00,1894.69,1894.88,1894.17,1894.45,306,32,0
34,2023-08-17 01:30:00,1894.41,1894.63,1894.1,1894.42,196,28,0
35,2023-08-17 01:45:00,1894.39,1894.48,1894.14,1894.25,125,32,0
36,2023-08-17 02:00:00,1894.28,1894.28,1893.04,1893.29,579,33,0
